"","N","device","agecat","Test","remainder"
"1",7,"browser","10-13","stroop_reaction_time_incongruent_median",23
"2",77,"browser","14-18","stroop_reaction_time_incongruent_median",-47
"3",87,"browser","19-35","stroop_reaction_time_incongruent_median",-57
"4",16,"browser","36-50","stroop_reaction_time_incongruent_median",14
"5",33,"browser","51-65","stroop_reaction_time_incongruent_median",-3
"6",21,"browser","66-75","stroop_reaction_time_incongruent_median",9
"7",4,"browser","76+","stroop_reaction_time_incongruent_median",26
"8",16,"iPad","10-13","stroop_reaction_time_incongruent_median",14
"9",171,"iPad","14-18","stroop_reaction_time_incongruent_median",-141
"10",116,"iPad","19-35","stroop_reaction_time_incongruent_median",-86
"11",25,"iPad","36-50","stroop_reaction_time_incongruent_median",5
"12",57,"iPad","51-65","stroop_reaction_time_incongruent_median",-27
"13",60,"iPad","66-75","stroop_reaction_time_incongruent_median",-30
"14",25,"iPad","76+","stroop_reaction_time_incongruent_median",5
"15",14,"iPhone","14-18","stroop_reaction_time_incongruent_median",16
"16",39,"iPhone","19-35","stroop_reaction_time_incongruent_median",-9
"17",16,"iPhone","36-50","stroop_reaction_time_incongruent_median",14
"18",10,"iPhone","51-65","stroop_reaction_time_incongruent_median",20
"19",7,"iPhone","66-75","stroop_reaction_time_incongruent_median",23
"20",6,"iPhone","76+","stroop_reaction_time_incongruent_median",24
"21",7,"browser","10-13","digit_symbol_duration_median",23
"22",77,"browser","14-18","digit_symbol_duration_median",-47
"23",87,"browser","19-35","digit_symbol_duration_median",-57
"24",16,"browser","36-50","digit_symbol_duration_median",14
"25",33,"browser","51-65","digit_symbol_duration_median",-3
"26",21,"browser","66-75","digit_symbol_duration_median",9
"27",4,"browser","76+","digit_symbol_duration_median",26
"28",16,"iPad","10-13","digit_symbol_duration_median",14
"29",171,"iPad","14-18","digit_symbol_duration_median",-141
"30",118,"iPad","19-35","digit_symbol_duration_median",-88
"31",24,"iPad","36-50","digit_symbol_duration_median",6
"32",47,"iPad","51-65","digit_symbol_duration_median",-17
"33",49,"iPad","66-75","digit_symbol_duration_median",-19
"34",20,"iPad","76+","digit_symbol_duration_median",10
"35",14,"iPhone","14-18","digit_symbol_duration_median",16
"36",39,"iPhone","19-35","digit_symbol_duration_median",-9
"37",16,"iPhone","36-50","digit_symbol_duration_median",14
"38",10,"iPhone","51-65","digit_symbol_duration_median",20
"39",7,"iPhone","66-75","digit_symbol_duration_median",23
"40",6,"iPhone","76+","digit_symbol_duration_median",24
"41",7,"browser","10-13","immediate_recall_correct",23
"42",77,"browser","14-18","immediate_recall_correct",-47
"43",87,"browser","19-35","immediate_recall_correct",-57
"44",16,"browser","36-50","immediate_recall_correct",14
"45",33,"browser","51-65","immediate_recall_correct",-3
"46",21,"browser","66-75","immediate_recall_correct",9
"47",4,"browser","76+","immediate_recall_correct",26
"48",16,"iPad","10-13","immediate_recall_correct",14
"49",171,"iPad","14-18","immediate_recall_correct",-141
"50",119,"iPad","19-35","immediate_recall_correct",-89
